Embalaje,Ancho,Largo,Alto,Procedencia,Manipulacion,Temperatura,Protocolo
1,80,90,9,A,Normal,Ambiente,1
2,89,50,91,D,Fragil,Refrigerado,2
2,45,39,67,B,Fragil,Ambiente,2
2,28,44,10,D,Fragil,Refrigerado,2
1,32,91,63,A,Normal,Ambiente,1
1,59,31,56,A,Normal,Ambiente,1
2,19,92,20,B,Fragil,Ambiente,2
1,26,75,22,A,Normal,Ambiente,1
2,26,30,53,D,Fragil,Refrigerado,2
2,45,40,9,D,Fragil,Refrigerado,2
2,80,17,74,D,Fragil,Refrigerado,2
2,65,56,90,D,Fragil,Refrigerado,2
2,15,61,46,B,Fragil,Ambiente,2
1,87,83,63,C,Normal,Refrigerado,1
1,36,89,85,C,Normal,Refrigerado,1
1,70,13,14,A,Normal,Ambiente,1
1,51,28,12,A,Normal,Ambiente,1
1,66,13,40,A,Normal,Ambiente,1
2,21,80,22,D,Fragil,Refrigerado,2
1,88,99,43,C,Normal,Refrigerado,1
1,80,5,10,C,Normal,Refrigerado,1
2,56,5,57,B,Fragil,Ambiente,2
1,17,47,30,C,Normal,Refrigerado,1
1,33,15,51,A,Normal,Ambiente,1
2,55,40,58,B,Fragil,Ambiente,2
2,16,42,75,B,Fragil,Ambiente,2
1,66,37,7,A,Normal,Ambiente,1
2,85,8,37,B,Fragil,Ambiente,2
2,77,16,27,D,Fragil,Refrigerado,2
2,6,19,17,B,Fragil,Ambiente,2
1,41,52,79,A,Normal,Ambiente,1
1,79,65,40,C,Normal,Refrigerado,1
2,21,49,17,B,Fragil,Ambiente,2
2,7,100,15,B,Fragil,Ambiente,2
1,69,61,53,C,Normal,Refrigerado,1
1,65,21,9,A,Normal,Ambiente,1
1,71,19,99,A,Normal,Ambiente,1
2,86,84,48,D,Fragil,Refrigerado,2
2,71,77,64,B,Fragil,Ambiente,2
2,44,18,38,D,Fragil,Refrigerado,2
1,87,85,36,A,Normal,Ambiente,1
2,31,28,40,B,Fragil,Ambiente,2
2,84,36,78,D,Fragil,Refrigerado,2
1,51,37,14,A,Normal,Ambiente,1
2,74,26,17,D,Fragil,Refrigerado,2
1,43,23,14,C,Normal,Refrigerado,1
1,27,36,14,C,Normal,Refrigerado,1
1,95,15,83,A,Normal,Ambiente,1
1,61,12,53,C,Normal,Refrigerado,1
2,32,20,46,B,Fragil,Ambiente,2
1,65,25,100,C,Normal,Refrigerado,1
2,8,67,86,B,Fragil,Ambiente,2
1,62,70,63,A,Normal,Ambiente,1
2,81,98,21,B,Fragil,Ambiente,2
2,87,22,33,B,Fragil,Ambiente,2
1,36,45,66,A,Normal,Ambiente,1
2,78,32,54,B,Fragil,Ambiente,2
1,18,62,83,C,Normal,Refrigerado,1
2,16,45,88,B,Fragil,Ambiente,2
2,72,73,75,B,Fragil,Ambiente,2
1,44,36,70,A,Normal,Ambiente,1
1,98,49,95,A,Normal,Ambiente,1
2,68,5,76,D,Fragil,Refrigerado,2
1,99,94,48,A,Normal,Ambiente,1
1,31,60,39,A,Normal,Ambiente,1
1,46,41,82,A,Normal,Ambiente,1
2,25,56,15,B,Fragil,Ambiente,2
1,68,41,75,C,Normal,Refrigerado,1
1,15,94,59,C,Normal,Refrigerado,1
2,59,57,45,B,Fragil,Ambiente,2
2,63,21,67,B,Fragil,Ambiente,2
1,51,53,64,C,Normal,Refrigerado,1
2,17,85,42,D,Fragil,Refrigerado,2
1,73,88,43,A,Normal,Ambiente,1
2,32,20,82,B,Fragil,Ambiente,2
1,39,67,31,C,Normal,Refrigerado,1
2,91,31,90,D,Fragil,Refrigerado,2
2,20,5,13,B,Fragil,Ambiente,2
2,89,10,56,B,Fragil,Ambiente,2
2,73,34,29,D,Fragil,Refrigerado,2
1,28,43,23,C,Normal,Refrigerado,1
2,87,52,16,D,Fragil,Refrigerado,2
2,7,64,55,D,Fragil,Refrigerado,2
2,31,37,18,D,Fragil,Refrigerado,2
2,20,7,96,B,Fragil,Ambiente,2
2,41,26,51,B,Fragil,Ambiente,2
2,39,36,58,B,Fragil,Ambiente,2
2,98,36,15,B,Fragil,Ambiente,2
2,76,54,42,B,Fragil,Ambiente,2
1,88,18,80,A,Normal,Ambiente,1
1,9,56,30,A,Normal,Ambiente,1
2,93,66,46,D,Fragil,Refrigerado,2
2,25,96,11,D,Fragil,Refrigerado,2
2,22,17,47,B,Fragil,Ambiente,2
1,18,69,97,A,Normal,Ambiente,1
1,95,24,33,C,Normal,Refrigerado,1
2,25,28,23,D,Fragil,Refrigerado,2
2,43,30,88,D,Fragil,Refrigerado,2
1,73,75,73,A,Normal,Ambiente,1
2,64,27,50,D,Fragil,Refrigerado,2
1,67,17,39,A,Normal,Ambiente,1
2,70,73,63,B,Fragil,Ambiente,2
1,45,72,37,A,Normal,Ambiente,1
2,27,24,42,B,Fragil,Ambiente,2
