Embalaje,Ancho,Largo,Alto,Procedencia,Manipulacion,Temperatura,Protocolo
2,58,84,51,40,2,2,2
2,5,17,14,40,2,2,2
2,12,13,46,20,2,1,2
1,30,7,91,10,1,1,1
2,45,15,84,20,2,1,2
1,91,46,14,30,1,2,1
1,73,28,36,30,1,2,1
1,23,31,15,30,1,2,1
2,99,50,30,20,2,1,2
1,5,48,30,30,1,2,1
2,88,5,95,20,2,1,2
2,56,32,37,20,2,1,2
2,76,84,34,40,2,2,2
2,23,56,92,20,2,1,2
2,82,91,22,40,2,2,2
1,87,96,37,30,1,2,1
2,79,29,53,20,2,1,2
1,76,17,12,10,1,1,1
2,41,20,68,40,2,2,2
1,51,84,9,30,1,2,1
2,78,87,82,20,2,1,2
2,57,99,47,40,2,2,2
1,62,51,61,30,1,2,1
2,18,93,82,20,2,1,2
2,7,45,5,20,2,1,2
2,99,37,76,40,2,2,2
2,8,75,44,40,2,2,2
2,71,60,61,40,2,2,2
1,39,27,10,30,1,2,1
1,63,8,68,10,1,1,1
2,7,18,83,20,2,1,2
2,89,42,40,20,2,1,2
2,96,92,31,20,2,1,2
1,80,86,16,10,1,1,1
2,49,79,44,40,2,2,2
2,33,24,5,40,2,2,2
1,7,68,37,30,1,2,1
1,74,46,77,10,1,1,1
2,80,84,35,40,2,2,2
2,40,73,75,40,2,2,2
2,28,64,37,20,2,1,2
2,49,70,65,40,2,2,2
1,76,49,71,10,1,1,1
2,53,91,40,40,2,2,2
1,57,59,42,30,1,2,1
1,5,60,40,10,1,1,1
1,91,23,5,10,1,1,1
1,88,33,22,10,1,1,1
1,93,63,81,10,1,1,1
1,78,33,97,10,1,1,1
1,34,22,50,30,1,2,1
1,9,13,26,10,1,1,1
1,91,53,30,30,1,2,1
1,56,91,43,30,1,2,1
1,90,28,40,10,1,1,1
2,81,53,82,40,2,2,2
2,50,27,17,20,2,1,2
1,20,38,17,30,1,2,1
2,98,67,66,20,2,1,2
2,98,22,65,20,2,1,2
1,90,58,89,10,1,1,1
2,42,94,97,40,2,2,2
1,17,21,82,10,1,1,1
2,60,43,90,40,2,2,2
1,91,22,10,10,1,1,1
2,35,35,50,20,2,1,2
2,79,29,94,40,2,2,2
1,12,23,89,10,1,1,1
2,53,64,60,40,2,2,2
1,70,83,64,10,1,1,1
2,98,84,64,20,2,1,2
1,29,91,50,10,1,1,1
1,31,78,8,30,1,2,1
2,36,53,35,20,2,1,2
2,15,74,86,40,2,2,2
1,98,61,64,30,1,2,1
2,6,45,59,40,2,2,2
1,5,6,97,30,1,2,1
